"numeroCartao","nome","validade","tipo","cvv","pin","criadoEm"
"4800457492034711","Charissa Dice","2027-11-08T13:31:30.8294663+00:00","Visa","181",1853,"2025-07-08T13:32:33.731Z"
"4045609643744581","Pearson Pipkin","2029-11-08T13:31:31.5936196+00:00","Visa","322",2075,"2025-07-08T13:32:33.731Z"
"4063166436556877","Paul Espinoza","2028-01-08T13:31:32.3664277+00:00","Visa","626",3044,"2025-07-08T13:32:33.731Z"
"4710537301017582","Mariangel Charron","2026-09-08T13:31:33.037253+00:00","Visa","790",5296,"2025-07-08T13:32:33.731Z"
"4269197068055187","Shlomo Hacker","2029-03-08T13:31:33.5809087+00:00","Visa","439",9971,"2025-07-08T13:32:33.731Z"
"4529283229016932","Levi Blaine","2027-12-08T13:31:34.1890327+00:00","Visa","305",5477,"2025-07-08T13:32:33.731Z"
"4699002589502958","Rebel Gunther","2028-10-08T13:31:34.8046833+00:00","Visa","945",4101,"2025-07-08T13:32:33.731Z"
"4377525479186739","Stuart Pannell","2029-07-08T13:31:35.4310092+00:00","Visa","378",2969,"2025-07-08T13:32:33.731Z"
"4727346648485705","Akeelah Weissman","2029-10-08T13:31:36.0493328+00:00","Visa","158",3919,"2025-07-08T13:32:33.731Z"
"4835078830292297","Marty Hunnicutt","2030-01-08T13:31:36.6057097+00:00","Visa","167",3182,"2025-07-08T13:32:33.731Z"
"4063172641804151","Jalayah Cintron","2027-05-08T13:31:37.3648609+00:00","Visa","443",8875,"2025-07-08T13:32:33.731Z"
"4089762476843413","Aarika Mettler","2028-02-08T13:31:37.9661308+00:00","Visa","344",2025,"2025-07-08T13:32:33.731Z"
"4257378362662647","Branch Cribbs","2028-09-08T13:31:38.664483+00:00","Visa","856",1245,"2025-07-08T13:32:33.731Z"
"4765096941823705","Carolyn Phipps","2028-10-08T13:31:39.5254231+00:00","Visa","296",2742,"2025-07-08T13:32:33.731Z"
"4530450452846783","Andrey Deutsch","2027-02-08T13:31:40.1155236+00:00","Visa","788",7393,"2025-07-08T13:32:33.731Z"
"4657194949082977","Favour Mcgann","2028-06-08T13:31:40.7977052+00:00","Visa","598",7376,"2025-07-08T13:32:33.731Z"
"4646530382830634","Regan Prado","2030-04-08T13:31:41.3482218+00:00","Visa","445",4309,"2025-07-08T13:32:33.731Z"
"4165291469471807","October Brockway","2027-05-08T13:31:41.8656574+00:00","Visa","831",5901,"2025-07-08T13:32:33.731Z"
"4775909336580151","Sriram Sartain","2026-10-08T13:31:42.3791789+00:00","Visa","482",3349,"2025-07-08T13:32:33.731Z"
"4692485523539359","Michele Hulse","2029-06-08T13:31:42.9616835+00:00","Visa","623",6598,"2025-07-08T13:32:33.731Z"
"4403751669419072","Kaiyah Matteson","2030-02-08T13:31:43.5898549+00:00","Visa","909",8277,"2025-07-08T13:32:33.731Z"
"4646622618711793","Krisha Altamirano","2029-06-08T13:31:44.1784608+00:00","Visa","680",6006,"2025-07-08T13:32:33.731Z"
"4736572682910634","Kiersten Tobias","2028-09-08T13:31:44.7859167+00:00","Visa","781",2236,"2025-07-08T13:32:33.731Z"
"4389766615317780","Gwenevere Suter","2028-02-08T13:31:45.406833+00:00","Visa","524",8600,"2025-07-08T13:32:33.731Z"
"4213534639897100","Kawika Wardlow","2029-10-08T13:31:46.0463332+00:00","Visa","995",4274,"2025-07-08T13:32:33.731Z"
"4607128995699509","Naomi Stephens","2029-11-08T13:31:46.6553994+00:00","Visa","966",3856,"2025-07-08T13:32:33.731Z"
"4886570379277646","Aleeza Dillingham","2029-02-08T13:31:47.32567+00:00","Visa","235",9418,"2025-07-08T13:32:33.731Z"
"4381655987452838","Quin Rubalcava","2028-06-08T13:31:47.8458489+00:00","Visa","281",1212,"2025-07-08T13:32:33.731Z"
"4852700351602228","Lilianna Cardona","2027-06-08T13:31:48.5491496+00:00","Visa","113",2161,"2025-07-08T13:32:33.731Z"
"4073889735737660","Ria Southerland","2029-11-08T13:31:49.1523085+00:00","Visa","803",3845,"2025-07-08T13:32:33.731Z"
"4055308619247367","Cheyanne Lockett","2026-10-08T13:31:49.7433896+00:00","Visa","552",8640,"2025-07-08T13:32:33.731Z"
"4403384095508340","Kyia Pinter","2029-07-08T13:31:50.3349632+00:00","Visa","213",7624,"2025-07-08T13:32:33.731Z"
"4841865119224724","Shyla Heredia","2027-04-08T13:31:50.9787759+00:00","Visa","780",9699,"2025-07-08T13:32:33.731Z"
"4627009381480553","Allana Ehrlich","2026-11-08T13:31:51.5447267+00:00","Visa","210",6096,"2025-07-08T13:32:33.731Z"
"4197640849902729","Ashtin Haber","2029-03-08T13:31:52.2696992+00:00","Visa","797",3502,"2025-07-08T13:32:33.731Z"
"4196401411827955","Tianna Bliss","2029-08-08T13:31:52.9410028+00:00","Visa","731",3062,"2025-07-08T13:32:33.731Z"
"4048263998577753","Auden Thai","2028-02-08T13:31:53.7303133+00:00","Visa","273",8101,"2025-07-08T13:32:33.731Z"
"4688216157383764","Kynzlee Landon","2030-01-08T13:31:54.3903025+00:00","Visa","753",9608,"2025-07-08T13:32:33.731Z"
"4448431074701441","Ekaterina Parmer","2027-12-08T13:31:55.2554323+00:00","Visa","377",1921,"2025-07-08T13:32:33.731Z"
